e,M,M_label,method,root,iterations,residual,absolute_error,converged
0.7,0.1,0.1,Newton-Raphson,0.32058579440448237,3,1.8736179274725373e-11,5.581790585296176e-11,True
0.75,0.1,0.1,Bisection,0.3740211337804794,24,3.2341426758897285e-10,1.0714374942821792e-09,True
0.75,0.1,0.1,Regula Falsi,0.37402110862186405,11,7.27073176665094e-09,2.4087177863396647e-08,True
0.75,0.1,0.1,Newton-Raphson,0.3740211327635021,3,1.6438933547746615e-11,5.446015860499642e-11,True
0.8,0.1,0.1,Bisection,0.4427165985107422,21,8.616479335588068e-09,3.1092165841961616e-08,True
0.8,0.1,0.1,Regula Falsi,0.4427165544020751,13,3.607223991730635e-09,1.3016501265727953e-08,True
0.8,0.1,0.1,Newton-Raphson,0.4427165674226551,3,1.1304013280977188e-12,4.0787373478679e-12,True
0.85,0.1,0.1,Bisection,0.5288863301277161,22,6.310818007060348e-09,2.3712765084837883e-08,True
0.85,0.1,0.1,Regula Falsi,0.5288862898962128,14,4.396228908687405e-09,1.6518738266135813e-08,True
0.85,0.1,0.1,Newton-Raphson,0.5288863065347208,2,3.187508590407617e-11,1.1976974967353726e-10,True
0.9,0.1,0.1,Bisection,0.6308434963226319,21,8.53562145963771e-09,3.124052194714011e-08,True
0.9,0.1,0.1,Regula Falsi,0.6308435035629083,14,6.5574131957735204e-09,2.4000245568700507e-08,True
0.9,0.1,0.1,Newton-Raphson,0.6308435296022913,3,5.571388628222707e-10,2.0391374144779206e-09,True
0.95,0.1,0.1,Bisection,0.7419176697731018,22,4.996761615583267e-10,1.6673400438094177e-09,True
0.95,0.1,0.1,Regula Falsi,0.741917658285131,14,2.9430913539574277e-09,9.820630753054616e-09,True
0.95,0.1,0.1,Newton-Raphson,0.7419176681119759,4,1.8623713682330845e-12,6.214140313431926e-12,True
0.05,1.5707963267948966,pi/2,Bisection,1.6207340041783196,20,8.719025945680414e-09,8.697318865102943e-09,True
0.05,1.5707963267948966,pi/2,Regula Falsi,1.6207339954808802,2,1.2079226507921703e-13,1.20570220474292e-13,True
0.05,1.5707963267948966,pi/2,Newton-Raphson,1.6207339954869993,2,6.013411990579698e-12,5.998535002049721e-12,True
0.1,1.5707963267948966,pi/2,Bisection,1.670301667847906,23,1.6506145339434397e-09,1.6343784103867165e-09,True
0.1,1.5707963267948966,pi/2,Regula Falsi,1.6703016694227613,2,6.011435793595865e-11,5.952305315304329e-11,True
0.1,1.5707963267948966,pi/2,Newton-Raphson,1.6703016702113245,2,7.362823684076147e-10,7.290401615733799e-10,True
0.15,1.5707963267948966,pi/2,Bisection,1.7191487173226216,23,2.188298431349267e-09,2.1408332884220727e-09,True
0.15,1.5707963267948966,pi/2,Regula Falsi,1.7191487173084512,2,2.2027828450177367e-09,2.1550037310191783e-09,True
0.15,1.5707963267948966,pi/2,Newton-Raphson,1.7191487194634547,3,2.220446049250313e-16,2.220446049250313e-16,True
0.2,1.5707963267948966,pi/2,Bisection,1.766960601010595,22,7.243929900369039e-09,6.972143751227122e-09,True
0.2,1.5707963267948966,pi/2,Regula Falsi,1.7669606079731721,3,9.939604694864101e-12,9.566569758590049e-12,True
0.2,1.5707963267948966,pi/2,Newton-Raphson,1.7669606079827394,3,6.661338147750939e-16,6.661338147750939e-16,True
0.25,1.5707963267948966,pi/2,Bisection,1.8134710053589682,23,2.2015833600619317e-09,2.076818717000606e-09,True
0.25,1.5707963267948966,pi/2,Regula Falsi,1.813471007286995,3,1.577302732869157e-10,1.4879186771565855e-10,True
0.25,1.5707963267948966,pi/2,Newton-Raphson,1.813471007435798,3,1.199040866595169e-14,1.1102230246251565e-14,True
